Period,Group,Sender,Time,ClientTime,Key,Value
1,1,4,1464635236589688361,1464635233695,endofsubperiod,{}
1,1,4,1464635236589873602,1464635233696,__set_points__,"{""points"": 16, ""period"": 1}"
1,1,1,1464635236777522349,1464635233886,_at_barrier,_timer_1_t_1_1
1,1,2,1464635236940366871,1464635234049,_at_barrier,_timer_1_t_1_1
1,1,3,1464635236945417899,1464635234051,_at_barrier,_timer_1_t_1_1
1,1,4,1464635236957048498,1464635234065,_at_barrier,_timer_1_t_1_1
1,1,1,1464635237323945725,1464635234430,_at_barrier,_timer_1_t_2_1
1,1,3,1464635237417458834,1464635234526,_at_barrier,_timer_1_t_2_1
1,1,2,1464635237422789861,1464635234526,_at_barrier,_timer_1_t_2_1
1,1,4,1464635237796316683,1464635234905,_at_barrier,_timer_1_t_2_1
1,1,1,1464635238163131419,1464635235270,_at_barrier,_timer_1_t_3_1
1,1,2,1464635238326372230,1464635235434,_at_barrier,_timer_1_t_3_1
1,1,3,1464635238331490275,1464635235436,_at_barrier,_timer_1_t_3_1
1,1,4,1464635238341882423,1464635235449,_at_barrier,_timer_1_t_3_1
1,1,1,1464635238709355919,1464635235815,_at_barrier,_timer_1_t_4_1
1,1,2,1464635238872244551,1464635235980,_at_barrier,_timer_1_t_4_1
1,1,3,1464635238877700856,1464635235983,_at_barrier,_timer_1_t_4_1
1,1,4,1464635238888739531,1464635235992,_at_barrier,_timer_1_t_4_1
1,1,1,1464635239252061824,1464635236361,_at_barrier,_timer_1_t_5_1
1,1,2,1464635239418417559,1464635236524,_at_barrier,_timer_1_t_5_1
1,1,4,1464635239418654002,1464635236525,_at_barrier,_timer_1_t_5_1
1,1,3,1464635239418849874,1464635236525,_at_barrier,_timer_1_t_5_1
1,1,1,1464635239782872755,1464635236892,_at_barrier,_timer_1_t_6_1
1,1,3,1464635239948166848,1464635237057,_at_barrier,_timer_1_t_6_1
1,1,2,1464635239948318842,1464635237054,_at_barrier,_timer_1_t_6_1
1,1,4,1464635239958253008,1464635237067,_at_barrier,_timer_1_t_6_1
1,1,1,1464635240320991929,1464635237431,_at_barrier,_timer_1_t_7_1
1,1,4,1464635240415604499,1464635237525,_at_barrier,_timer_1_t_7_1
1,1,3,1464635240415743817,1464635237525,_at_barrier,_timer_1_t_7_1
1,1,2,1464635240420564572,1464635237525,_at_barrier,_timer_1_t_7_1
1,1,1,1464635240789252492,1464635237893,_at_barrier,_timer_1_t_8_1
1,1,2,1464635240954810640,1464635238061,_at_barrier,_timer_1_t_8_1
1,1,3,1464635240960466427,1464635238065,_at_barrier,_timer_1_t_8_1
1,1,4,1464635240968632068,1464635238078,_at_barrier,_timer_1_t_8_1
1,1,1,1464635241332422663,1464635238440,_at_barrier,_timer_1_t_9_1
1,1,3,1464635241415697965,1464635238525,_at_barrier,_timer_1_t_9_1
1,1,4,1464635241415884572,1464635238525,_at_barrier,_timer_1_t_9_1
1,1,2,1464635241420953912,1464635238524,_at_barrier,_timer_1_t_9_1
1,1,1,1464635241785117942,1464635238893,_at_barrier,_timer_1_t_10_1
1,1,3,1464635241952781789,1464635239059,_at_barrier,_timer_1_t_10_1
1,1,2,1464635241952943495,1464635239057,_at_barrier,_timer_1_t_10_1
1,1,4,1464635241963237629,1464635239068,_at_barrier,_timer_1_t_10_1
1,1,1,1464635242338676531,1464635239434,_at_barrier,_timer_1_t_11_1
1,1,2,1464635242419154866,1464635239525,_at_barrier,_timer_1_t_11_1
1,1,3,1464635242419306909,1464635239525,_at_barrier,_timer_1_t_11_1
1,1,4,1464635242419467308,1464635239525,_at_barrier,_timer_1_t_11_1
1,1,1,1464635242784715951,1464635239893,_at_barrier,_timer_1_t_12_1
1,1,2,1464635242946706379,1464635240057,_at_barrier,_timer_1_t_12_1
1,1,3,1464635242951372294,1464635240059,_at_barrier,_timer_1_t_12_1
1,1,4,1464635242965899291,1464635240074,_at_barrier,_timer_1_t_12_1
1,1,1,1464635243341743257,1464635240437,_at_barrier,_timer_1_t_13_1
1,1,3,1464635243416625933,1464635240526,_at_barrier,_timer_1_t_13_1
1,1,4,1464635243416828394,1464635240526,_at_barrier,_timer_1_t_13_1
1,1,2,1464635243421922764,1464635240527,_at_barrier,_timer_1_t_13_1
1,1,1,1464635243787433064,1464635240896,_at_barrier,_timer_1_t_14_1
1,1,2,1464635243954378181,1464635241060,_at_barrier,_timer_1_t_14_1
1,1,3,1464635243954547923,1464635241063,_at_barrier,_timer_1_t_14_1
1,1,4,1464635243961936341,1464635241071,_at_barrier,_timer_1_t_14_1
1,1,1,1464635244325028454,1464635241433,_at_barrier,_timer_1_t_15_1
1,1,2,1464635244420673219,1464635241525,_at_barrier,_timer_1_t_15_1
1,1,3,1464635244420807815,1464635241525,_at_barrier,_timer_1_t_15_1
1,1,4,1464635244421005623,1464635241525,_at_barrier,_timer_1_t_15_1
1,1,1,1464635244785744817,1464635241894,_at_barrier,_timer_1_t_16_1
1,1,2,1464635244948274022,1464635242058,_at_barrier,_timer_1_t_16_1
1,1,3,1464635244953027356,1464635242060,_at_barrier,_timer_1_t_16_1
1,1,4,1464635244959216111,1464635242068,_at_barrier,_timer_1_t_16_1
1,1,1,1464635245324091169,1464635242431,_at_barrier,_timer_1_t_17_1
1,1,3,1464635245415865875,1464635242525,_at_barrier,_timer_1_t_17_1
1,1,2,1464635245416025170,1464635242525,_at_barrier,_timer_1_t_17_1
1,1,4,1464635245416147219,1464635242525,_at_barrier,_timer_1_t_17_1
1,1,1,1464635245780704906,1464635242888,_at_barrier,_timer_1_t_18_1
1,1,2,1464635245943768309,1464635243054,_at_barrier,_timer_1_t_18_1
1,1,3,1464635245948446783,1464635243055,_at_barrier,_timer_1_t_18_1
1,1,4,1464635245959027001,1464635243067,_at_barrier,_timer_1_t_18_1
1,1,1,1464635246326061621,1464635243431,_at_barrier,_timer_1_t_19_1
1,1,2,1464635246416075974,1464635243525,_at_barrier,_timer_1_t_19_1
1,1,3,1464635246416329605,1464635243525,_at_barrier,_timer_1_t_19_1
1,1,4,1464635246421607714,1464635243526,_at_barrier,_timer_1_t_19_1
1,1,1,1464635246790913937,1464635243894,_at_barrier,_timer_1_t_20_1
1,1,2,1464635246958814112,1464635244065,_at_barrier,_timer_1_t_20_1
1,1,3,1464635246958986638,1464635244065,_at_barrier,_timer_1_t_20_1
1,1,4,1464635246973907875,1464635244082,_at_barrier,_timer_1_t_20_1
1,1,1,1464635247337556613,1464635244446,_at_barrier,_timer_1_t_21_1
1,1,2,1464635247415831902,1464635244525,_at_barrier,_timer_1_t_21_1
1,1,3,1464635247415984346,1464635244525,_at_barrier,_timer_1_t_21_1
1,1,4,1464635247416148168,1464635244525,_at_barrier,_timer_1_t_21_1
1,1,1,1464635247779607990,1464635244888,_at_barrier,_timer_1_t_22_1
1,1,2,1464635247942467360,1464635245052,_at_barrier,_timer_1_t_22_1
1,1,3,1464635247947800585,1464635245053,_at_barrier,_timer_1_t_22_1
1,1,4,1464635247953083294,1464635245062,_at_barrier,_timer_1_t_22_1
1,1,1,1464635248318284679,1464635245424,_at_barrier,_timer_1_t_23_1
1,1,3,1464635248415974902,1464635245525,_at_barrier,_timer_1_t_23_1
1,1,2,1464635248416104600,1464635245525,_at_barrier,_timer_1_t_23_1
1,1,4,1464635248416218292,1464635245525,_at_barrier,_timer_1_t_23_1
1,1,1,1464635248784771160,1464635245889,_at_barrier,_timer_1_t_24_1
1,1,2,1464635248946863806,1464635246057,_at_barrier,_timer_1_t_24_1
1,1,3,1464635248952408937,1464635246059,_at_barrier,_timer_1_t_24_1
1,1,4,1464635248965052533,1464635246074,_at_barrier,_timer_1_t_24_1
1,1,1,1464635249328378472,1464635246436,_at_barrier,_timer_1_t_25_1
1,1,3,1464635249415604732,1464635246525,_at_barrier,_timer_1_t_25_1
1,1,2,1464635249421089790,1464635246525,_at_barrier,_timer_1_t_25_1
1,1,4,1464635249421199054,1464635246525,_at_barrier,_timer_1_t_25_1
1,1,1,1464635249784296450,1464635246893,_at_barrier,_timer_1_t_26_1
1,1,2,1464635249949979021,1464635247056,_at_barrier,_timer_1_t_26_1
1,1,3,1464635249955399450,1464635247059,_at_barrier,_timer_1_t_26_1
1,1,4,1464635249960777710,1464635247066,_at_barrier,_timer_1_t_26_1
1,1,1,1464635250323124453,1464635247431,_at_barrier,_timer_1_t_27_1
1,1,3,1464635250415679014,1464635247525,_at_barrier,_timer_1_t_27_1
1,1,2,1464635250415806110,1464635247525,_at_barrier,_timer_1_t_27_1
1,1,4,1464635250415930024,1464635247525,_at_barrier,_timer_1_t_27_1
1,1,1,1464635250779893138,1464635247888,_at_barrier,_timer_1_t_28_1
1,1,2,1464635250942493644,1464635248052,_at_barrier,_timer_1_t_28_1
1,1,3,1464635250947149367,1464635248054,_at_barrier,_timer_1_t_28_1
1,1,4,1464635250961269709,1464635248070,_at_barrier,_timer_1_t_28_1
1,1,1,1464635251324741297,1464635248433,_at_barrier,_timer_1_t_29_1
1,1,3,1464635251416037957,1464635248525,_at_barrier,_timer_1_t_29_1
1,1,4,1464635251416232905,1464635248525,_at_barrier,_timer_1_t_29_1
1,1,2,1464635251416377154,1464635248525,_at_barrier,_timer_1_t_29_1
1,1,1,1464635251779884088,1464635248888,_at_barrier,_timer_1_t_30_1
1,1,2,1464635251943384190,1464635249053,_at_barrier,_timer_1_t_30_1
1,1,3,1464635251949059720,1464635249057,_at_barrier,_timer_1_t_30_1
1,1,4,1464635251956221712,1464635249066,_at_barrier,_timer_1_t_30_1
1,1,1,1464635252319520783,1464635249428,_at_barrier,_timer_1_t_31_1
1,1,3,1464635252416554995,1464635249525,_at_barrier,_timer_1_t_31_1
1,1,4,1464635252416716067,1464635249525,_at_barrier,_timer_1_t_31_1
1,1,2,1464635252416857540,1464635249525,_at_barrier,_timer_1_t_31_1
1,1,1,1464635252783140596,1464635249888,_at_barrier,_timer_1_t_32_1
1,1,2,1464635252945403960,1464635250055,_at_barrier,_timer_1_t_32_1
1,1,3,1464635252951625202,1464635250057,_at_barrier,_timer_1_t_32_1
1,1,4,1464635252960496436,1464635250070,_at_barrier,_timer_1_t_32_1
1,1,1,1464635253324155083,1464635250432,_at_barrier,_timer_1_t_33_1
1,1,2,1464635253415702107,1464635250525,_at_barrier,_timer_1_t_33_1
1,1,3,1464635253415859991,1464635250525,_at_barrier,_timer_1_t_33_1
1,1,4,1464635253415974093,1464635250525,_at_barrier,_timer_1_t_33_1
1,1,1,1464635253779841846,1464635250888,_at_barrier,_timer_1_t_34_1
1,1,2,1464635253945970444,1464635251052,_at_barrier,_timer_1_t_34_1
1,1,3,1464635253946111097,1464635251054,_at_barrier,_timer_1_t_34_1
1,1,4,1464635253952944780,1464635251062,_at_barrier,_timer_1_t_34_1
1,1,1,1464635254316439168,1464635251424,_at_barrier,_timer_1_t_35_1
1,1,3,1464635254416043917,1464635251525,_at_barrier,_timer_1_t_35_1
1,1,4,1464635254416209109,1464635251525,_at_barrier,_timer_1_t_35_1
1,1,2,1464635254416340649,1464635251526,_at_barrier,_timer_1_t_35_1
1,1,1,1464635254779996512,1464635251888,_at_barrier,_timer_1_t_36_1
1,1,2,1464635254949131163,1464635252052,_at_barrier,_timer_1_t_36_1
1,1,3,1464635254953893212,1464635252054,_at_barrier,_timer_1_t_36_1
1,1,4,1464635254958846203,1464635252068,_at_barrier,_timer_1_t_36_1
1,1,1,1464635255323567539,1464635252431,_at_barrier,_timer_1_t_37_1
1,1,3,1464635255416005867,1464635252525,_at_barrier,_timer_1_t_37_1
1,1,2,1464635255416133726,1464635252525,_at_barrier,_timer_1_t_37_1
1,1,4,1464635255416251011,1464635252525,_at_barrier,_timer_1_t_37_1
1,1,1,1464635255781942588,1464635252890,_at_barrier,_timer_1_t_38_1
1,1,2,1464635255943958131,1464635253053,_at_barrier,_timer_1_t_38_1
1,1,3,1464635255948497307,1464635253055,_at_barrier,_timer_1_t_38_1
1,1,4,1464635255960972707,1464635253071,_at_barrier,_timer_1_t_38_1
1,1,1,1464635256326062160,1464635253433,_at_barrier,_timer_1_t_39_1
1,1,2,1464635256415647495,1464635253525,_at_barrier,_timer_1_t_39_1
1,1,3,1464635256415795652,1464635253525,_at_barrier,_timer_1_t_39_1
1,1,4,1464635256415913347,1464635253525,_at_barrier,_timer_1_t_39_1
1,1,1,1464635256781025803,1464635253889,_at_barrier,_timer_1_t_40_1
1,1,2,1464635256945509666,1464635254055,_at_barrier,_timer_1_t_40_1
1,1,3,1464635256950205837,1464635254056,_at_barrier,_timer_1_t_40_1
1,1,4,1464635256960244332,1464635254069,_at_barrier,_timer_1_t_40_1
1,1,1,1464635257331455633,1464635254431,_at_barrier,_timer_1_t_41_1
1,1,2,1464635257415966452,1464635254525,_at_barrier,_timer_1_t_41_1
1,1,3,1464635257416075837,1464635254525,_at_barrier,_timer_1_t_41_1
